"SubnetIDString","SubnetID","SiteName","DcInSite","MaskBits","SubnetMask"
"161.165.0.0/16","161.165.0.0","ISD","True","16","255.255.0.0"
"161.173.207.0/25","161.173.207.0","UK-Leeds-HO","True","25","255.255.255.128"
"30.3.0.0/19","30.3.0.0","US-S06019","False","19","255.255.224.0"
"30.0.64.0/19","30.0.64.0","US-S04894","False","19","255.255.224.0"
"30.20.160.0/19","30.20.160.0","UK-S07460","False","19","255.255.224.0"
"30.18.192.0/19","30.18.192.0","UK-S07439","False","19","255.255.224.0"
"30.20.64.0/19","30.20.64.0","UK-S07452","False","19","255.255.224.0"
"30.19.96.0/19","30.19.96.0","UK-S07444","False","19","255.255.224.0"
"10.14.0.0/19","10.14.0.0","CN-HOMEOFFICE","True","19","255.255.224.0"
"142.136.121.0/24","142.136.121.0","US-S06021","False","24","255.255.255.0"
"23.80.0.0/12","23.80.0.0","CAM-Honduras-HO","True","12","255.240.0.0"
"146.132.197.0/24","146.132.197.0","US-S06097","False","24","255.255.255.0"
"10.158.168.0/21","10.158.168.0","US-S08232","False","21","255.255.248.0"
"10.90.255.11/32","10.90.255.11","CN-S08661-TM-Fujian-DO","False","32","255.255.255.255"
"142.136.130.0/24","142.136.130.0","US-S06061","False","24","255.255.255.0"
"10.5.248.136/30","10.5.248.136","BR-S04995","False","30","255.255.255.252"
"10.248.64.0/21","10.248.64.0","CN-S07484","False","21","255.255.248.0"
"142.136.125.0/24","142.136.125.0","US-S06025","False","24","255.255.255.0"
"10.154.101.0/24","10.154.101.0","US-S06069","False","24","255.255.255.0"
"10.169.96.0/21","10.169.96.0","US-S06389","False","21","255.255.248.0"
"30.25.0.0/19","30.25.0.0","US-S09193","False","19","255.255.224.0"
"156.95.0.0/16","156.95.0.0","ISD","True","16","255.255.0.0"
"10.153.112.0/21","10.153.112.0","US-S06054","False","21","255.255.248.0"
"10.0.250.2/32","10.0.250.2","BR-S07457","False","32","255.255.255.255"
"10.157.96.0/20","10.157.96.0","BR-HOMEOFFICE","False","20","255.255.240.0"
"148.250.0.0/16","148.250.0.0","MX-Azcapotzalco","True","16","255.255.0.0"
"10.9.33.28/30","10.9.33.28","PK-S09870","False","30","255.255.255.252"
"10.153.72.0/21","10.153.72.0","US-S07023","False","21","255.255.248.0"
"10.122.0.0/16","10.122.0.0","MX-Azcapotzalco","True","16","255.255.0.0"
"148.250.216.0/24","148.250.216.0","MX-Toreo","False","24","255.255.255.0"
"10.0.255.72/32","10.0.255.72","MX-S06388","False","32","255.255.255.255"
"30.20.192.0/19","30.20.192.0","UK-S07461","False","19","255.255.224.0"
"10.85.0.0/16","10.85.0.0","IN-HOMEOFFICE","True","16","255.255.0.0"
"30.4.128.0/19","30.4.128.0","US-S06035","False","19","255.255.224.0"
"161.163.220.56/30","161.163.220.56","CN-HOMEOFFICE","True","30","255.255.255.252"
"172.16.0.0/16","172.16.0.0","ISD","True","16","255.255.0.0"
"10.149.156.0/24","10.149.156.0","MX-S07486","False","24","255.255.255.0"
"10.90.254.56/30","10.90.254.56","CN-S08658-TM-Western-RO","False","30","255.255.255.252"
"161.163.28.0/23","161.163.28.0","CN-HOMEOFFICE","True","23","255.255.254.0"
"10.153.223.0/24","10.153.223.0","CN-S07484","False","24","255.255.255.0"
"156.95.82.252/30","156.95.82.252","US-S06019","False","30","255.255.255.252"
"10.0.255.41/32","10.0.255.41","US-S06060","False","32","255.255.255.255"
"30.19.0.0/19","30.19.0.0","UK-S07441","False","19","255.255.224.0"
"10.161.208.0/21","10.161.208.0","US-S06068","False","21","255.255.248.0"
"156.95.2.40/30","156.95.2.40","US-S06072","False","30","255.255.255.252"
"10.191.32.56/29","10.191.32.56","US-S06011","False","29","255.255.255.248"
"10.0.255.134/32","10.0.255.134","US-S06060","False","32","255.255.255.255"
"10.1.8.0/30","10.1.8.0","US-S06016","False","30","255.255.255.252"
"10.147.253.0/28","10.147.253.0","US-S06088","False","28","255.255.255.240"
"28.160.0.0/12","28.160.0.0","AR-HOMEOFFICE","True","12","255.240.0.0"
"161.176.210.0/24","161.176.210.0","BR-HOMEOFFICE","False","24","255.255.255.0"
"30.21.96.0/19","30.21.96.0","MX-S07471","False","19","255.255.224.0"
"10.248.184.0/21","10.248.184.0","UK-S07457","False","21","255.255.248.0"
"10.90.254.104/30","10.90.254.104","CN-S08673-TM-Zhengjiang-DO","False","30","255.255.255.252"
"10.90.255.12/32","10.90.255.12","CN-S08661-TM-Fujian-DO","False","32","255.255.255.255"
"30.9.192.0/19","30.9.192.0","US-S06088","False","19","255.255.224.0"
"10.9.32.20/30","10.9.32.20","AR-HOMEOFFICE","True","30","255.255.255.252"
"142.136.169.0/24","142.136.169.0","US-S06019","False","24","255.255.255.0"
"156.95.91.44/30","156.95.91.44","CL-HOMEOFFICE","True","30","255.255.255.252"
"10.90.255.15/32","10.90.255.15","CN-S08674-TM-Suwan-DO","False","32","255.255.255.255"
"30.7.160.0/19","30.7.160.0","US-S06064","False","19","255.255.224.0"
"161.163.222.47/32","161.163.222.47","ZA-S08112","False","32","255.255.255.255"
"10.148.0.40/29","10.148.0.40","US-S07023","False","29","255.255.255.248"
"10.161.216.0/21","10.161.216.0","US-S06009","False","21","255.255.248.0"
"10.9.32.144/30","10.9.32.144","CN-HOMEOFFICE","True","30","255.255.255.252"
"10.248.128.0/21","10.248.128.0","MX-S07482","False","21","255.255.248.0"
"10.35.0.0/16","10.35.0.0","ISD","True","16","255.255.0.0"
"30.15.160.0/19","30.15.160.0","US-S07042","False","19","255.255.224.0"
"10.0.255.21/32","10.0.255.21","US-S06061","False","32","255.255.255.255"
"156.95.82.144/30","156.95.82.144","US-S06054","False","30","255.255.255.252"
"10.161.128.0/21","10.161.128.0","US-S07055","False","21","255.255.248.0"
"172.27.21.20/30","172.27.21.20","PR-HOMEOFFICE","True","30","255.255.255.252"
"10.9.32.0/24","10.9.32.0","UK-Leeds-HO","True","24","255.255.255.0"
"10.153.252.0/23","10.153.252.0","US-S07055","False","23","255.255.254.0"
"10.249.104.0/21","10.249.104.0","ISD","True","21","255.255.248.0"
"10.169.240.0/21","10.169.240.0","CA-S06093","False","21","255.255.248.0"
"10.249.96.0/21","10.249.96.0","MX-S07465","False","21","255.255.248.0"
"10.76.248.0/21","10.76.248.0","CAM-Nicaragua-HO","True","21","255.255.248.0"
"10.9.32.100/30","10.9.32.100","IN-HOMEOFFICE","True","30","255.255.255.252"
"10.161.224.0/21","10.161.224.0","US-S06092","False","21","255.255.248.0"
"10.29.0.0/16","10.29.0.0","CN-HOMEOFFICE","True","16","255.255.0.0"
"10.68.0.0/16","10.68.0.0","ISD","True","16","255.255.0.0"
"30.3.96.0/19","30.3.96.0","US-S06022","False","19","255.255.224.0"
"30.21.192.0/19","30.21.192.0","MX-Azcapotzalco","True","19","255.255.224.0"
"10.148.0.8/29","10.148.0.8","US-S06071","False","29","255.255.255.248"
"10.86.0.0/15","10.86.0.0","CL-HOMEOFFICE","True","15","255.254.0.0"
"30.6.32.0/19","30.6.32.0","ISD","True","19","255.255.224.0"
"30.19.192.0/19","30.19.192.0","UK-S07447","False","19","255.255.224.0"
"30.5.64.0/19","30.5.64.0","US-S06041","False","19","255.255.224.0"
"10.149.22.0/23","10.149.22.0","BR-HOMEOFFICE","False","23","255.255.254.0"
"10.72.0.0/16","10.72.0.0","ISD","True","16","255.255.0.0"
"10.169.72.0/21","10.169.72.0","US-S06005","False","21","255.255.248.0"
"161.163.159.0/24","161.163.159.0","UK-Leeds-HO","True","24","255.255.255.0"
"10.148.0.80/29","10.148.0.80","US-S07036","False","29","255.255.255.248"
"30.23.64.0/19","30.23.64.0","ISD","True","19","255.255.224.0"
"10.169.16.0/21","10.169.16.0","US-S07045","False","21","255.255.248.0"
"10.158.120.0/24","10.158.120.0","CA-Toronto-HO","True","24","255.255.255.0"
"10.0.255.99/32","10.0.255.99","US-S06496","False","32","255.255.255.255"
"156.95.2.148/30","156.95.2.148","US-S06071","False","30","255.255.255.252"
"30.14.160.0/19","30.14.160.0","US-S07026","False","19","255.255.224.0"
"10.9.35.0/28","10.9.35.0","UK-Leeds-HO","True","28","255.255.255.240"
"30.0.192.0/19","30.0.192.0","JP-Akabane","True","19","255.255.224.0"
"10.162.176.0/21","10.162.176.0","US-S06041","False","21","255.255.248.0"
"156.84.0.0/16","156.84.0.0","ISD","True","16","255.255.0.0"
"19.184.0.0/16","19.184.0.0","JP-Akabane","True","16","255.255.0.0"
"161.176.238.0/24","161.176.238.0","BR-Bompreco","False","24","255.255.255.0"
"11.11.0.1/32","11.11.0.1","US-S06009","False","32","255.255.255.255"
"30.13.128.0/19","30.13.128.0","US-S07015","False","19","255.255.224.0"
"10.50.0.0/16","10.50.0.0","ISD","True","16","255.255.0.0"
"161.163.174.0/24","161.163.174.0","UK-Leeds-HO","True","24","255.255.255.0"
"10.169.144.0/21","10.169.144.0","US-S09153","False","21","255.255.248.0"
"10.161.136.0/21","10.161.136.0","US-S06066","False","21","255.255.248.0"
"10.249.56.0/21","10.249.56.0","UK-S07460","False","21","255.255.248.0"
"161.174.163.0/24","161.174.163.0","CA-Toronto-HO","True","24","255.255.255.0"
"172.26.160.241/32","172.26.160.241","ISD-EXCH","True","32","255.255.255.255"
"161.178.100.0/24","161.178.100.0","CA-Toronto-HO","True","24","255.255.255.0"
"55.103.152.0/21","55.103.152.0","CA-Toronto-HO","True","21","255.255.248.0"
"55.106.88.0/21","55.106.88.0","CA-Toronto-HO","True","21","255.255.248.0"
"55.108.72.0/21","55.108.72.0","CA-Toronto-HO","True","21","255.255.248.0"
"148.250.235.15/32","148.250.235.15","MX-Toreo","False","32","255.255.255.255"
"161.174.171.0/24","161.174.171.0","CA-Sams-HO","False","24","255.255.255.0"
"10.157.228.0/22","10.157.228.0","US-S06913","False","22","255.255.252.0"
"161.174.100.0/24","161.174.100.0","CA-Toronto-HO","True","24","255.255.255.0"
"55.108.96.0/21","55.108.96.0","CA-Toronto-HO","True","21","255.255.248.0"
"55.102.64.0/21","55.102.64.0","CA-Toronto-HO","True","21","255.255.248.0"
"10.217.152.0/23","10.217.152.0","CA-Toronto-HO","True","23","255.255.254.0"
"10.217.188.0/23","10.217.188.0","CA-Toronto-HO","True","23","255.255.254.0"
"161.174.178.0/24","161.174.178.0","CA-Toronto-HO","True","24","255.255.255.0"
"10.4.6.0/24","10.4.6.0","AR-HOMEOFFICE","True","24","255.255.255.0"
"161.174.157.0/24","161.174.157.0","CA-Toronto-HO","True","24","255.255.255.0"
"161.178.32.0/20","161.178.32.0","CA-Toronto-HO","True","20","255.255.240.0"
"55.102.8.0/21","55.102.8.0","CA-Toronto-HO","True","21","255.255.248.0"
"172.26.160.0/20","172.26.160.0","ISD","True","20","255.255.240.0"
"55.96.80.0/21","55.96.80.0","CA-Toronto-HO","True","21","255.255.248.0"
"55.107.48.0/21","55.107.48.0","CA-Toronto-HO","True","21","255.255.248.0"
"55.96.72.0/21","55.96.72.0","CA-Toronto-HO","True","21","255.255.248.0"
"10.4.11.0/24","10.4.11.0","AR-HOMEOFFICE","True","24","255.255.255.0"
"10.219.212.0/23","10.219.212.0","CA-Sams-HO","False","23","255.255.254.0"
"10.219.190.0/23","10.219.190.0","CA-Toronto-HO","True","23","255.255.254.0"
"10.219.192.0/23","10.219.192.0","CA-Sams-HO","False","23","255.255.254.0"
"55.98.88.0/21","55.98.88.0","CA-Sams-HO","False","21","255.255.248.0"
"161.174.172.0/24","161.174.172.0","CA-Toronto-HO","True","24","255.255.255.0"
"10.4.18.0/24","10.4.18.0","AR-HOMEOFFICE","True","24","255.255.255.0"
"10.217.244.0/23","10.217.244.0","CA-Toronto-HO","True","23","255.255.254.0"
"10.219.138.0/23","10.219.138.0","CA-Toronto-HO","True","23","255.255.254.0"
"55.108.88.0/21","55.108.88.0","CA-Toronto-HO","True","21","255.255.248.0"
"148.250.235.13/32","148.250.235.13","MX-Toreo","False","32","255.255.255.255"
"172.26.132.39/32","172.26.132.39","ISD","True","32","255.255.255.255"
"10.217.108.0/23","10.217.108.0","CA-Toronto-HO","True","23","255.255.254.0"
"161.174.98.0/24","161.174.98.0","CA-Toronto-HO","True","24","255.255.255.0"
"161.166.40.179/32","161.166.40.179","ISD-EXCH","True","32","255.255.255.255"
"55.103.224.0/21","55.103.224.0","CA-Toronto-HO","True","21","255.255.248.0"
"55.102.24.0/21","55.102.24.0","CA-Toronto-HO","True","21","255.255.248.0"
"10.219.232.0/23","10.219.232.0","CA-Sams-HO","False","23","255.255.254.0"
"161.174.201.0/24","161.174.201.0","CA-Toronto-HO","True","24","255.255.255.0"
"55.99.104.0/21","55.99.104.0","CA-Toronto-HO","True","21","255.255.248.0"
"10.219.222.0/23","10.219.222.0","CA-Toronto-HO","True","23","255.255.254.0"
"148.250.235.22/32","148.250.235.22","MX-Toreo","False","32","255.255.255.255"
"10.83.0.0/17","10.83.0.0","CAM-Nicaragua-HO","True","17","255.255.128.0"
"55.106.32.0/21","55.106.32.0","CA-Toronto-HO","True","21","255.255.248.0"
"55.108.160.0/21","55.108.160.0","CA-Toronto-HO","True","21","255.255.248.0"
"10.4.12.0/24","10.4.12.0","AR-HOMEOFFICE","True","24","255.255.255.0"
"10.128.0.0/24","10.128.0.0","AR-HOMEOFFICE","True","24","255.255.255.0"
"161.174.174.0/24","161.174.174.0","CA-Toronto-HO","True","24","255.255.255.0"
"161.166.121.16/32","161.166.121.16","ISD","True","32","255.255.255.255"
"10.219.166.0/23","10.219.166.0","CA-Sams-HO","False","23","255.255.254.0"
"30.26.128.0/19","30.26.128.0","US-S06907","False","19","255.255.224.0"
"10.157.176.0/20","10.157.176.0","US-S06046","False","20","255.255.240.0"
"55.107.184.0/21","55.107.184.0","CA-Toronto-HO","True","21","255.255.248.0"
"55.108.0.0/21","55.108.0.0","CA-Toronto-HO","True","21","255.255.248.0"
"55.103.208.0/21","55.103.208.0","CA-Toronto-HO","True","21","255.255.248.0"
"55.107.144.0/21","55.107.144.0","CA-Toronto-HO","True","21","255.255.248.0"
"161.174.203.0/24","161.174.203.0","CA-Toronto-HO","True","24","255.255.255.0"
"55.103.216.0/21","55.103.216.0","CA-Toronto-HO","True","21","255.255.248.0"
"10.148.16.0/20","10.148.16.0","UK-S07468","False","20","255.255.240.0"
"55.103.144.0/21","55.103.144.0","CA-Toronto-HO","True","21","255.255.248.0"
"10.112.72.0/24","10.112.72.0","CA-Toronto-HO","True","24","255.255.255.0"
"10.4.14.0/24","10.4.14.0","AR-HOMEOFFICE","True","24","255.255.255.0"
"10.149.192.0/20","10.149.192.0","US-S06028","False","20","255.255.240.0"
"148.250.235.12/32","148.250.235.12","MX-Toreo","False","32","255.255.255.255"
"10.219.38.0/23","10.219.38.0","CA-Toronto-HO","True","23","255.255.254.0"
"10.112.4.0/24","10.112.4.0","CA-Toronto-HO","True","24","255.255.255.0"
"10.217.150.0/23","10.217.150.0","CA-Toronto-HO","True","23","255.255.254.0"
"55.96.184.0/21","55.96.184.0","CA-Toronto-HO","True","21","255.255.248.0"
"10.112.32.0/24","10.112.32.0","CA-Toronto-HO","True","24","255.255.255.0"
"161.178.16.0/20","161.178.16.0","CA-Toronto-HO","True","20","255.255.240.0"
"55.107.192.0/21","55.107.192.0","CA-Toronto-HO","True","21","255.255.248.0"
"172.32.0.0/16","172.32.0.0","ISD","True","16","255.255.0.0"
"10.219.144.0/23","10.219.144.0","CA-Toronto-HO","True","23","255.255.254.0"
"10.112.40.0/24","10.112.40.0","CA-Toronto-HO","True","24","255.255.255.0"
"10.219.172.0/23","10.219.172.0","CA-Toronto-HO","True","23","255.255.254.0"
"148.250.191.83/32","148.250.191.83","MX-Azcapotzalco","True","32","255.255.255.255"
"161.163.159.5/32","161.163.159.5","UK-Leeds-HO","True","32","255.255.255.255"
"22.32.0.0/12","22.32.0.0","CAM-CostaRica-HO","True","12","255.240.0.0"
"55.107.240.0/21","55.107.240.0","CA-Toronto-HO","True","21","255.255.248.0"
"55.107.208.0/21","55.107.208.0","CA-Toronto-HO","True","21","255.255.248.0"
"161.174.192.0/24","161.174.192.0","CA-Sams-HO","False","24","255.255.255.0"
"10.112.76.0/24","10.112.76.0","CA-Toronto-HO","True","24","255.255.255.0"
"10.217.168.0/23","10.217.168.0","CA-Toronto-HO","True","23","255.255.254.0"
"172.26.164.22/32","172.26.164.22","ISD","True","32","255.255.255.255"
"55.107.24.0/21","55.107.24.0","CA-Toronto-HO","True","21","255.255.248.0"
"172.26.160.243/32","172.26.160.243","ISD-EXCH","True","32","255.255.255.255"
"161.166.114.0/24","161.166.114.0","ISD","True","24","255.255.255.0"
"10.217.12.0/23","10.217.12.0","CA-Sams-HO","False","23","255.255.254.0"
"55.103.232.0/21","55.103.232.0","CA-Toronto-HO","True","21","255.255.248.0"
"10.149.112.0/20","10.149.112.0","US-S06032","False","20","255.255.240.0"
"10.161.32.0/21","10.161.32.0","US-S06090","False","21","255.255.248.0"
"55.107.64.0/21","55.107.64.0","CA-Toronto-HO","True","21","255.255.248.0"
"55.106.16.0/21","55.106.16.0","CA-Sams-HO","False","21","255.255.248.0"
"10.164.132.0/24","10.164.132.0","US-S06046","False","24","255.255.255.0"
"10.20.0.0/16","10.20.0.0","ISD","True","16","255.255.0.0"
"161.163.166.0/24","161.163.166.0","UK-Leeds-HO","True","24","255.255.255.0"
"10.169.248.0/21","10.169.248.0","CA-S06063","False","21","255.255.248.0"
"10.0.244.0/24","10.0.244.0","MX-Azcapotzalco","True","24","255.255.255.0"
"10.8.120.0/21","10.8.120.0","BR-HOMEOFFICE","False","21","255.255.248.0"
"156.95.2.56/30","156.95.2.56","US-S06059","False","30","255.255.255.252"
"161.163.103.0/26","161.163.103.0","UK-Leeds-HO","True","26","255.255.255.192"
"172.27.9.12/32","172.27.9.12","US-S09475","False","32","255.255.255.255"
"10.1.0.0/16","10.1.0.0","ISD","True","16","255.255.0.0"
"1.0.0.0/8","1.0.0.0","ISD","True","8","255.0.0.0"
"10.149.144.0/20","10.149.144.0","MX-S07486","False","20","255.255.240.0"
"22.96.0.0/12","22.96.0.0","CAM-ElSalvador-HO","True","12","255.240.0.0"
"22.80.0.0/12","22.80.0.0","CAM-Honduras-HO","True","12","255.240.0.0"
"10.169.224.0/21","10.169.224.0","US-S06055","False","21","255.255.248.0"
"30.24.224.0/19","30.24.224.0","US-S09153","False","19","255.255.224.0"
"161.163.173.0/24","161.163.173.0","UK-Leeds-HO","True","24","255.255.255.0"
"161.163.222.31/32","161.163.222.31","ID-S09760","False","32","255.255.255.255"
"10.33.0.0/16","10.33.0.0","ISD","True","16","255.255.0.0"
"10.0.254.80/32","10.0.254.80","CN-S07484","False","32","255.255.255.255"
"142.136.156.0/24","142.136.156.0","US-S06006","False","24","255.255.255.0"
"10.83.0.0/16","10.83.0.0","CAM-Nicaragua-HO","True","16","255.255.0.0"
"161.174.0.0/16","161.174.0.0","CA-Toronto-HO","True","16","255.255.0.0"
"10.0.255.133/32","10.0.255.133","US-S06060","False","32","255.255.255.255"
"10.149.6.0/23","10.149.6.0","CA-Toronto-HO","True","23","255.255.254.0"
"10.248.32.0/21","10.248.32.0","BR-HOMEOFFICE","False","21","255.255.248.0"
"161.163.164.0/24","161.163.164.0","UK-Leeds-HO","True","24","255.255.255.0"
"30.27.224.0/19","30.27.224.0","IN-S07401","False","19","255.255.224.0"
"146.132.240.0/22","146.132.240.0","US-S09697","False","22","255.255.252.0"
"10.153.252.0/24","10.153.252.0","US-S07033","False","24","255.255.255.0"
"161.163.216.0/24","161.163.216.0","CAM-Nicaragua-HO","True","24","255.255.255.0"
"10.90.255.14/32","10.90.255.14","CN-S08673-TM-Zhengjiang-DO","False","32","255.255.255.255"
"30.8.96.0/19","30.8.96.0","US-S06071","False","19","255.255.224.0"
"10.153.80.0/21","10.153.80.0","US-S07035","False","21","255.255.248.0"
"239.255.0.0/24","239.255.0.0","ISD","True","24","255.255.255.0"
"30.8.32.0/19","30.8.32.0","US-S06069","False","19","255.255.224.0"
"10.153.176.0/21","10.153.176.0","US-S06012","False","21","255.255.248.0"
"161.177.247.6/32","161.177.247.6","MX-S07486","False","32","255.255.255.255"
"10.52.0.0/16","10.52.0.0","ISD","True","16","255.255.0.0"
"10.90.255.8/32","10.90.255.8","CN-S08658-TM-Western-RO","False","32","255.255.255.255"
"10.9.32.148/30","10.9.32.148","CN-HOMEOFFICE","True","30","255.255.255.252"
"39.96.0.0/16","39.96.0.0","ISD","True","16","255.255.0.0"
"10.154.100.0/24","10.154.100.0","US-S06092","False","24","255.255.255.0"
"30.16.32.0/19","30.16.32.0","US-S07048","False","19","255.255.224.0"
"10.9.54.0/24","10.9.54.0","CN-HOMEOFFICE","True","24","255.255.255.0"
"10.219.214.0/23","10.219.214.0","CA-Sams-HO","False","23","255.255.254.0"
"30.21.224.0/19","30.21.224.0","MX-S07482","False","19","255.255.224.0"
"10.71.0.0/16","10.71.0.0","ISD","True","16","255.255.0.0"
"10.153.254.0/23","10.153.254.0","US-S07077","False","23","255.255.254.0"
"30.18.64.0/19","30.18.64.0","UK-S07430","False","19","255.255.224.0"
"142.136.175.0/24","142.136.175.0","US-S06025","False","24","255.255.255.0"
"30.18.32.0/19","30.18.32.0","UK-S07457","False","19","255.255.224.0"
"172.26.155.126/32","172.26.155.126","ISD-EXCH","True","32","255.255.255.255"
"156.95.142.0/24","156.95.142.0","MX-Azcapotzalco","True","24","255.255.255.0"
